"","x","y","layer"
"233",-123.0414750665,41.2017154069879,1
"234",-123.0387809765,41.2017154069879,1
"235",-123.0360868865,41.2017154069879,1
"236",-123.0333927965,41.2017154069879,1
"237",-123.0304292975,41.2017154069879,1
"238",-123.0277352075,41.2017154069879,1
"239",-123.0250411175,41.2017154069879,1
"240",-123.0223470275,41.2017154069879,1
"241",-123.0196529375,41.2017154069879,1
"242",-123.0169588475,41.2017154069879,1
"243",-123.0142647575,41.2017154069879,1
"244",-123.0115706675,41.2017154069879,1
"245",-123.0088765775,41.2017154069879,1
"246",-123.0061824875,41.2017154069879,1
"247",-123.0034883975,41.2017154069879,1
"248",-123.0007943075,41.2017154069879,1
"249",-122.9981002175,41.2017154069879,1
"250",-122.9954061275,41.2017154069879,1
"251",-122.9924426285,41.2017154069879,1
"252",-122.9897485385,41.2017154069879,1
"253",-122.9870544485,41.2017154069879,1
"254",-122.9843603585,41.2017154069879,1
"255",-122.9816662685,41.2017154069879,1
"256",-122.9789721785,41.2017154069879,1
"257",-122.9762780885,41.2017154069879,1
"258",-122.9735839985,41.2017154069879,1
"259",-122.9708899085,41.2017154069879,1
"260",-122.9681958185,41.2017154069879,1
"261",-122.9655017285,41.2017154069879,1
"262",-122.9628076385,41.2017154069879,1
"263",-122.9601135485,41.2017154069879,1
"264",-122.9571500495,41.2017154069879,1
"265",-122.9544559595,41.2017154069879,1
"266",-122.9517618695,41.2017154069879,1
"267",-122.9490677795,41.2017154069879,1
"268",-122.9463736895,41.2017154069879,1
"269",-122.9436795995,41.2017154069879,1
"270",-122.9409855095,41.2017154069879,1
"271",-123.3046876595,41.1990213169879,1
"272",-123.3019935695,41.1990213169879,1
"273",-123.2992994795,41.1990213169879,2
"274",-123.2966053895,41.1990213169879,2
"275",-123.2939112995,41.1990213169879,2
"276",-123.2912172095,41.1990213169879,1
"277",-123.2885231195,41.1990213169879,2
"278",-123.2855596205,41.1990213169879,3
"279",-123.2828655305,41.1990213169879,4
"280",-123.2801714405,41.1990213169879,2
"281",-123.2774773505,41.1990213169879,2
"282",-123.2747832605,41.1990213169879,2
"283",-123.2720891705,41.1990213169879,2
"284",-123.2693950805,41.1990213169879,2
"285",-123.2667009905,41.1990213169879,2
"286",-123.2640069005,41.1990213169879,2
"287",-123.2613128105,41.1990213169879,2
"288",-123.2586187205,41.1990213169879,3
"289",-123.2559246305,41.1990213169879,2
"290",-123.2532305405,41.1990213169879,4
"291",-123.2502670415,41.1990213169879,2
"292",-123.2475729515,41.1990213169879,2
"293",-123.2448788615,41.1990213169879,3
"294",-123.2421847715,41.1990213169879,3
"295",-123.2394906815,41.1990213169879,2
"296",-123.2367965915,41.1990213169879,2
"297",-123.2341025015,41.1990213169879,4
"298",-123.2314084115,41.1990213169879,2
"299",-123.2287143215,41.1990213169879,2
"300",-123.2260202315,41.1990213169879,2
"301",-123.2233261415,41.1990213169879,1
"302",-123.2206320515,41.1990213169879,1
"303",-123.2179379615,41.1990213169879,1
"304",-123.2152438715,41.1990213169879,1
"305",-123.2122803725,41.1990213169879,1
"306",-123.2095862825,41.1990213169879,1
"307",-123.2068921925,41.1990213169879,1
"308",-123.2041981025,41.1990213169879,1
"309",-123.2015040125,41.1990213169879,1
"310",-123.1988099225,41.1990213169879,1
"311",-123.1961158325,41.1990213169879,1
"312",-123.1934217425,41.1990213169879,1
"313",-123.1907276525,41.1990213169879,1
"314",-123.1880335625,41.1990213169879,1
"315",-123.1853394725,41.1990213169879,1
"316",-123.1826453825,41.1990213169879,1
"317",-123.1799512925,41.1990213169879,1
"318",-123.1769877935,41.1990213169879,1
"319",-123.1742937035,41.1990213169879,1
"320",-123.1715996135,41.1990213169879,1
"321",-123.1689055235,41.1990213169879,1
"322",-123.1662114335,41.1990213169879,1
"323",-123.1635173435,41.1990213169879,1
"324",-123.1608232535,41.1990213169879,1
"325",-123.1581291635,41.1990213169879,1
"326",-123.1554350735,41.1990213169879,1
"327",-123.1527409835,41.1990213169879,1
"328",-123.1500468935,41.1990213169879,1
